UNHALTED_CORE_CYCLES,0x53003c
UNC_C_RXC_ISMQ0_REJECT.IV_NON_UPI,0x8024
UNC_C_RXC_ISMQ0_RETRY.AD_REQ_VN0,0x12c
UNC_C_RXC_ISMQ0_RETRY.AD_RSP_VN0,0x22c
UNC_C_RXC_ISMQ0_RETRY.AK_NON_UPI,0x402c
UNC_C_RXC_ISMQ0_RETRY.BL_NCB_VN0,0x102c
UNC_C_RXC_ISMQ0_RETRY.BL_NCS_VN0,0x202c
UNC_C_RXC_ISMQ0_RETRY.BL_RSP_VN0,0x42c
UNC_C_RXC_ISMQ0_RETRY.BL_WB_VN0,0x82c
UNC_C_RXC_ISMQ0_RETRY.IV_NON_UPI,0x802c
UNC_C_RXC_ISMQ1_REJECT.ANY0,0x125
UNC_C_RXC_ISMQ1_REJECT.HA,0x225
UNC_C_RXC_ISMQ1_RETRY.ANY0,0x12d
UNC_C_RXC_ISMQ1_RETRY.HA,0x22d
UNC_C_RXC_OCCUPANCY.IPQ,0x411
UNC_C_RXC_OCCUPANCY.IRQ,0x111
UNC_C_RXC_OCCUPANCY.RRQ,0x4011
UNC_C_RXC_OCCUPANCY.WBQ,0x8011
UNC_C_RXC_OTHER0_RETRY.AD_REQ_VN0,0x12e
UNC_C_RXC_OTHER0_RETRY.AD_RSP_VN0,0x22e
UNC_C_RXC_OTHER0_RETRY.AK_NON_UPI,0x402e
UNC_C_RXC_OTHER0_RETRY.BL_NCB_VN0,0x102e
UNC_C_RXC_OTHER0_RETRY.BL_NCS_VN0,0x202e
UNC_C_RXC_OTHER0_RETRY.BL_RSP_VN0,0x42e
UNC_C_RXC_OTHER0_RETRY.BL_WB_VN0,0x82e
UNC_C_RXC_OTHER0_RETRY.IV_NON_UPI,0x802e
UNC_C_RXC_OTHER1_RETRY.ALLOW_SNP,0x402f
UNC_C_RXC_OTHER1_RETRY.ANY0,0x12f
UNC_C_RXC_OTHER1_RETRY.HA,0x22f
UNC_C_RXC_OTHER1_RETRY.LLC_OR_SF_WAY,0x202f
UNC_C_RXC_OTHER1_RETRY.LLC_VICTIM,0x42f
UNC_C_RXC_OTHER1_RETRY.PA_MATCH,0x802f
UNC_C_RXC_OTHER1_RETRY.SF_VICTIM,0x82f
UNC_C_RXC_OTHER1_RETRY.VICTIM,0x102f
UNC_C_RXC_PRQ0_REJECT.AD_REQ_VN0,0x120
UNC_C_RXC_PRQ0_REJECT.AD_RSP_VN0,0x220
UNC_C_RXC_PRQ0_REJECT.AK_NON_UPI,0x4020
UNC_C_RXC_PRQ0_REJECT.BL_NCB_VN0,0x1020
UNC_C_RXC_PRQ0_REJECT.BL_NCS_VN0,0x2020
UNC_C_RXC_PRQ0_REJECT.BL_RSP_VN0,0x420
UNC_C_RXC_PRQ0_REJECT.BL_WB_VN0,0x820
UNC_C_RXC_PRQ0_REJECT.IV_NON_UPI,0x8020
UNC_C_RXC_PRQ1_REJECT.ALLOW_SNP,0x4021
UNC_C_RXC_PRQ1_REJECT.ANY0,0x121
UNC_C_RXC_PRQ1_REJECT.HA,0x221
UNC_C_RXC_PRQ1_REJECT.LLC_OR_SF_WAY,0x2021
UNC_C_RXC_PRQ1_REJECT.LLC_VICTIM,0x421
UNC_C_RXC_PRQ1_REJECT.PA_MATCH,0x8021
UNC_C_RXC_PRQ1_REJECT.SF_VICTIM,0x821
UNC_C_RXC_PRQ1_REJECT.VICTIM,0x1021
UNC_C_RXC_REQ_Q0_RETRY.AD_REQ_VN0,0x12a
UNC_C_RXC_REQ_Q0_RETRY.AD_RSP_VN0,0x22a
UNC_C_RXC_REQ_Q0_RETRY.AK_NON_UPI,0x402a
UNC_C_RXC_REQ_Q0_RETRY.BL_NCB_VN0,0x102a
UNC_C_RXC_REQ_Q0_RETRY.BL_NCS_VN0,0x202a
UNC_C_RXC_REQ_Q0_RETRY.BL_RSP_VN0,0x42a
UNC_C_RXC_REQ_Q0_RETRY.BL_WB_VN0,0x82a
UNC_C_RXC_REQ_Q0_RETRY.IV_NON_UPI,0x802a
UNC_C_RXC_REQ_Q1_RETRY.ALLOW_SNP,0x402b
UNC_C_RXC_REQ_Q1_RETRY.ANY0,0x12b
UNC_C_RXC_REQ_Q1_RETRY.HA,0x22b
UNC_C_RXC_REQ_Q1_RETRY.LLC_OR_SF_WAY,0x202b
UNC_C_RXC_REQ_Q1_RETRY.LLC_VICTIM,0x42b
